data,encoding,regressor,mse,pcc,r2,ktc
3,CTDC,KNN,0.499004181205769,0.523932559066822,0.255783055822496,0.359061823890392
3,CTDT,SVM,0.508556027719139,0.494496687782548,0.241537391575242,0.353942251190415
3,CTDT,RF,0.441605340223361,0.592070591127379,0.341387929777737,0.407124218715251
3,CTDT,DT,0.700962349943804,0.460489302800269,-0.0454182103206577,0.30186453377649
3,CTDT,KNN,0.506204398621608,0.528335709343915,0.245044621147095,0.319147032161527
4,CTDD,SVM,0.510873157799272,0.482041946262365,0.227647862632814,0.320768942672281
4,CTDD,RF,0.373915251659833,0.664777290615632,0.434704604450696,0.423921983389435
4,CTDD,DT,0.773712590865718,0.369309661208684,-0.169720045259916,0.234387747190595
4,CTDD,KNN,0.436582195056224,0.604278261406092,0.339962990146723,0.399051450401013
4,QSOrder,SVM,0.455630383462485,0.559450062706199,0.311165413284545,0.398236539760336
4,QSOrder,RF,0.384406799193254,0.657810920798177,0.418843193378262,0.450018693219291
4,QSOrder,DT,0.65617604509412,0.47404064755934,0.00797494802669196,0.326080258552812
4,QSOrder,KNN,0.472625568847186,0.555337652093316,0.285471623042422,0.359697817086694
4,CTDC,SVM,0.544460030661033,0.425292653771753,0.176870301419755,0.290984402552304
4,CTDC,RF,0.457643302655721,0.558668682034893,0.308122226502252,0.36972685700462
4,CTDC,DT,0.757330339527793,0.399931146527226,-0.144952905623457,0.273588995664689
4,CTDC,KNN,0.523467462640156,0.477789063009228,0.208607445037938,0.320833253704518
4,CTDT,SVM,0.54594483441312,0.425731104451515,0.174625534134593,0.313630790114664
4,CTDT,RF,0.441025411920401,0.584830558880957,0.333245612282097,0.389379252983152
4,CTDT,DT,0.845109478582863,0.371423105709999,-0.27765983028845,0.2564554226755
4,CTDT,KNN,0.553610981652367,0.463226144227092,0.163035641193046,0.303309925499851
