,target_value,predict_value
137,-1.1760913,-1.7492518
138,-3.09691,-3.0633664
139,-0.76226175,-0.4073159
140,-2.0351925,-1.5454434
141,0.4433435,0.45573628
142,0.16963197,0.15211146
143,-0.11394335,-0.59997976
144,-0.90778875,-0.74083114
145,-2.10721,-1.7756146
146,-1.20412,-1.0223348
147,-1.1614159,-1.1841345
148,-1.0195724,-1.1001564
149,-0.85178095,-0.7424171
150,-0.11430065,-1.4929985
151,-1.4771212,-1.605719
152,-0.462398,-0.9546371
153,-1.1563472,-0.96366227
154,-0.9230263,-1.9186598
155,-1.155336,-1.43755
156,-1.3772063,-1.199401
157,-1.2067229,-1.7005674
158,-1.0896626,-1.2572275
159,-2.3777523,-1.8229316
160,-0.9206051,-0.9476642
161,-0.71734947,0.44387865
162,-0.26913983,-0.5893278
163,-0.90309,-0.55103165
164,-1.69897,-0.25065532
165,-0.76955676,-1.0962728
166,-0.26245221,0.14351094
167,-0.9552524,-1.1633252
168,-1.678098,-1.2017903
169,-2.6379898,-2.1932054
170,-1.4581528,-1.1928293
171,-1.90309,-1.601821
172,0.124938734,-1.2522768
173,-1.20412,-1.30333
174,-1.69897,-0.9863439
175,-1.50515,-1.2336696
176,-1.2819188,-1.432649
177,-1.1316186,-1.2437592
178,-0.49485,-0.8413904
179,-1.69897,-1.5260551
180,-2.0,-1.6425949
181,-1.9889771,-1.5072215
182,1.8068753,0.0898743
183,-0.60206,-1.2137192
184,-1.9608947,-1.8420991
185,-1.3802112,-1.1991693
186,-0.39794,-0.8707373
187,-1.744293,-0.73566926
188,-0.92255247,-1.0991453
189,-0.18877116,-0.9549578
190,-0.79588,-0.8910359
191,-0.93106526,-1.2535449
192,-1.1904757,-1.3004601
193,-0.66457194,-0.8130355
194,-0.47712126,-0.7131754
195,-1.20412,-1.3341331
196,-2.0927958,-1.8294133
197,-2.70927,-1.930761
198,-0.90309,-0.96066314
199,-1.4771212,-1.2995136
200,1.4267968,0.6721818
201,-1.866872,-1.6433072
202,-1.6700603,-1.9663186
203,-0.30103,-0.29582393
204,-1.69897,-0.48484173
205,-1.6652107,-1.1973807
206,-0.8260748,-1.2141985
207,-1.4585167,-1.2869344
208,-0.55885756,-0.5615113
209,-1.1403201,0.29241878
210,-1.0791812,-2.1909857
211,-1.3043733,-1.1323861
212,-3.563356,-2.051284
213,-1.2227165,-0.81082934
214,-0.69897,-1.8646463
215,-1.024832,-1.674669
216,-0.90309,-0.46447337
217,-1.0930316,-0.6068262
218,-1.5605044,-1.2521225
219,-1.90309,-1.2906381
220,-1.8568814,-1.5502064
221,-1.3369862,-1.1768624
222,-1.1127557,-1.3414704
223,-0.35025895,-0.31261814
224,-0.54406804,-1.1099037
225,-1.8325089,-0.8098259
226,-1.8750613,-1.7719834
227,-2.084875,-1.564694
228,0.20342566,-0.11478442
229,-2.0577078,-1.6095842
230,-0.770852,-0.7341913
231,-2.0953305,-1.8666624
232,-0.39794,-0.46192822
233,-1.39794,-0.4395321
234,-1.3932508,-1.4100075
235,-2.10721,-1.4905893
236,-2.0,-1.7812891
237,-0.22010809,-1.1464368
238,-2.0,-1.1858042
239,-0.90309,-1.6501443
240,-2.0,-1.7738436
241,-2.0,-1.0477085
242,-1.5998831,-1.907849
243,-0.98094666,-0.41618013
244,-0.30103,-0.94342613
245,-0.47712126,-0.30196327
246,0.61978877,0.8835979
247,-2.3777523,-1.9371915
248,-1.508117,-1.4291095
249,-0.90309,-0.72099006
250,-2.929419,-2.8455176
251,-1.4492431,-1.6658329
252,-0.7781513,-0.6021775
253,-1.0515658,-1.7030603
254,-3.2088165,-2.801643
255,-0.8598416,-1.359599
256,-0.32460964,-0.73016584
