,target_value,predict_value
264,-1.39794,-0.36795697
265,-0.5507392,-0.7205954
266,-2.0,-0.67409915
267,-1.6096016,-1.3802229
268,-0.3521825,-0.16861111
269,-2.1760912,-1.808041
270,-0.79588,-1.3496798
271,-0.763428,-0.79383314
272,-1.69897,-1.8077587
273,-0.5721436,-0.77846843
274,-1.6977862,-1.6038219
275,-2.20412,-2.202261
276,-1.2208648,-1.5224618
277,-1.6429095,-1.4143225
278,-2.0,-0.7835531
279,-0.6424483,-0.9450537
280,-1.30103,-1.2605935
281,-0.39794,-0.8108838
282,-3.9069295,-1.9676456
283,-0.39794,-0.3417721
284,-0.014269441,-0.47894612
285,-1.0791812,-2.0729938
286,-1.7918347,-1.1786791
287,-1.80618,-0.9434116
288,-1.2201246,-0.93718916
289,-2.0,-1.2852981
290,-1.725299,-1.6954321
291,-1.2787536,-0.11251879
292,-3.138765,-2.9834344
293,-1.2922561,-1.2686448
294,-1.6698952,-1.3408296
295,-0.54406804,-1.2990767
296,-0.542202,-0.41522452
297,-1.20412,-0.967696
298,-1.113378,-0.81802523
299,-2.30103,-2.1023517
300,-0.34641197,-1.7212181
301,0.15490197,0.28451216
302,-0.90309,-0.59618014
303,-1.30103,-1.5957569
304,-0.7754798,-0.51849014
305,-2.1984792,-1.8075695
306,-1.39794,-0.8713942
307,-1.1760913,-1.4487495
308,-0.8920946,-0.9736827
309,-1.5440681,-0.6400484
310,-1.7403626,-0.31730187
311,-0.42085642,0.6402706
312,-1.09691,-0.31676048
313,-0.1005146,-0.18586178
314,-0.7781513,-0.9202269
315,-0.19312459,-1.3920716
316,-0.60206,-0.3335988
317,-1.2787536,-1.267872
318,-1.1529124,0.010472756
319,-0.4905424,-1.518441
320,-1.9138274,-2.1828675
321,-1.3082116,-1.4144832
322,-2.1123726,-1.9982457
323,-0.102778316,-1.7452507
324,-2.5464158,-1.5794331
325,-0.79588,-0.99708587
326,-0.60206,-0.016797189
327,-1.4754426,-1.6908827
